Precinct	total_votes	votes|Iris Y. Martinez
01002	91	91
01007	368	368
01009	394	394
01013	228	228
01016	605	605
01017	55	55
01019	590	590
01023	710	710
01034	404	404
01041	308	308
01042	114	114
01043	314	314
26007	357	357
26034	397	397
26037	19	19
30001	414	414
30003	317	317
30004	335	335
30007	399	399
30008	475	475
30009	177	177
30015	355	355
30017	345	345
30018	480	480
30019	78	78
30020	397	397
30022	514	514
30023	400	400
30024	491	491
30025	534	534
30026	218	218
30027	242	242
30028	381	381
30031	244	244
30032	290	290
31001	234	234
31002	211	211
31005	264	264
31006	181	181
31007	415	415
31008	195	195
31009	225	225
31010	222	222
31011	185	185
31012	225	225
31013	262	262
31014	183	183
31017	212	212
31018	239	239
31020	218	218
31021	202	202
31023	250	250
31024	238	238
31026	268	268
31027	266	266
31028	197	197
31029	255	255
31030	186	186
31032	193	193
31033	200	200
31034	223	223
31035	265	265
31036	268	268
31037	233	233
31038	206	206
31040	290	290
31041	209	209
32001	160	160
32003	574	574
32011	480	480
32012	389	389
32014	537	537
32017	528	528
32020	505	505
32022	655	655
32026	579	579
32028	533	533
32043	501	501
33001	476	476
33002	334	334
33003	587	587
33004	659	659
33005	358	358
33006	429	429
33007	431	431
33009	544	544
33011	544	544
33012	479	479
33013	490	490
33014	257	257
33015	484	484
33016	625	625
33017	553	553
33018	481	481
33019	551	551
33020	534	534
33021	518	518
33022	446	446
33025	604	604
33026	428	428
33027	539	539
33028	500	500
35001	446	446
35002	65	65
35004	402	402
35005	401	401
35006	395	395
35009	357	357
35010	588	588
35011	489	489
35015	522	522
35017	507	507
35020	385	385
35022	534	534
35023	426	426
35024	384	384
35025	508	508
35026	364	364
35027	356	356
35028	418	418
35029	361	361
35030	390	390
35031	445	445
36009	5	5
36014	344	344
36016	338	338
36017	373	373
36018	261	261
36020	347	347
38023	357	357
38034	349	349
38035	360	360
38039	118	118
39003	420	420
39006	0	0
39012	297	297
39025	284	284
39028	494	494
39031	292	292
39034	422	422
45001	348	348
45002	416	416
45003	378	378
45004	487	487
45005	410	410
45006	538	538
45007	587	587
45008	404	404
45009	357	357
45010	385	385
45011	285	285
