Precinct	total_votes	votes|Omar Aquino
01001	523	523
01002	344	344
01003	596	596
01004	572	572
01005	596	596
01006	469	469
01008	61	61
01010	642	642
01011	531	531
01014	469	469
01015	431	431
01017	370	370
01018	482	482
01020	402	402
01021	619	619
01022	324	324
01024	425	425
01025	492	492
01026	308	308
01027	532	532
01029	598	598
01030	527	527
01031	437	437
01032	362	362
01033	517	517
01035	594	594
01036	513	513
01037	291	291
01038	449	449
01039	437	437
01040	472	472
01044	450	450
02001	215	215
02003	579	579
02004	455	455
02005	611	611
02014	526	526
02015	74	74
02016	464	464
02017	84	84
02021	529	529
26001	369	369
26002	273	273
26003	388	388
26004	154	154
26005	306	306
26006	293	293
26008	158	158
26009	225	225
26010	295	295
26011	298	298
26012	365	365
26013	167	167
26014	253	253
26015	187	187
26016	165	165
26018	225	225
26019	102	102
26020	286	286
26021	393	393
26022	153	153
26023	212	212
26024	255	255
26025	310	310
26026	235	235
26027	402	402
26028	102	102
26029	199	199
26030	267	267
26031	134	134
26032	388	388
26033	373	373
26034	27	27
26035	287	287
26036	335	335
26037	347	347
26038	133	133
26039	362	362
26040	228	228
26041	380	380
26042	277	277
26043	178	178
26044	184	184
26045	147	147
26047	210	210
26048	316	316
26049	184	184
27005	9	9
27007	547	547
27013	79	79
27024	24	24
27027	22	22
27040	65	65
27043	5	5
29015	2	2
29023	18	18
29024	55	55
29029	27	27
29030	266	266
29031	177	177
29036	257	257
29038	363	363
29039	318	318
30002	346	346
30005	249	249
30006	296	296
30009	112	112
30010	361	361
30011	330	330
30012	298	298
30013	338	338
30014	222	222
30016	163	163
30019	248	248
30021	259	259
30029	200	200
30030	164	164
31003	193	193
31004	353	353
31014	21	21
31015	204	204
31016	307	307
31019	224	224
31021	29	29
31022	210	210
31025	223	223
31031	194	194
31039	276	276
35002	425	425
35003	408	408
35007	450	450
35008	456	456
35012	275	275
35013	278	278
35014	284	284
35016	240	240
35018	271	271
35019	220	220
35021	377	377
36001	314	314
36002	301	301
36003	298	298
36004	312	312
36005	297	297
36006	262	262
36007	366	366
36008	246	246
36009	285	285
36010	372	372
36011	218	218
36012	205	205
36013	222	222
36015	334	334
36018	70	70
36019	370	370
36021	252	252
36022	245	245
36023	268	268
36024	318	318
36025	326	326
36026	288	288
36027	312	312
36028	263	263
36029	322	322
36030	314	314
37012	40	40
37022	70	70
37026	1	1
38004	283	283
38008	272	272
38010	254	254
38016	296	296
38021	166	166
38037	326	326
38039	249	249
