Precinct	total_votes	votes|Maria Pappas
01001	527	527
01002	426	426
01003	573	573
01004	548	548
01005	571	571
01006	473	473
01007	364	364
01008	422	422
01009	362	362
01010	629	629
01011	581	581
01012	572	572
01013	220	220
01014	456	456
01015	442	442
01016	595	595
01017	425	425
01018	476	476
01019	558	558
01020	392	392
01021	665	665
01022	316	316
01023	690	690
01024	409	409
01025	479	479
01026	306	306
01027	526	526
01028	111	111
01029	590	590
01030	525	525
01031	440	440
01032	474	474
01033	551	551
01034	388	388
01035	589	589
01036	494	494
01037	498	498
01038	447	447
01039	427	427
01040	460	460
01041	298	298
01042	159	159
01043	305	305
01044	443	443
02001	554	554
02002	358	358
02003	566	566
02004	433	433
02005	578	578
02006	489	489
02007	461	461
02008	562	562
02009	408	408
02010	405	405
02011	500	500
02012	448	448
02013	422	422
02014	522	522
02015	461	461
02016	444	444
02017	587	587
02018	468	468
02019	337	337
02020	524	524
02021	520	520
02022	499	499
02023	333	333
02024	442	442
02025	519	519
02026	400	400
02027	400	400
02028	523	523
02029	541	541
02030	408	408
02031	543	543
02032	361	361
02033	678	678
02034	367	367
02035	592	592
02036	515	515
02037	447	447
02038	410	410
02039	286	286
02040	653	653
02041	483	483
02042	532	532
02043	629	629
02044	288	288
02045	542	542
02046	246	246
03001	575	575
03002	552	552
03003	392	392
03004	499	499
03005	284	284
03006	610	610
03007	290	290
03008	363	363
03009	472	472
03010	213	213
03011	474	474
03012	464	464
03013	517	517
03014	526	526
03015	409	409
03016	407	407
03017	648	648
03018	662	662
03019	530	530
03020	474	474
03021	512	512
03022	631	631
03023	386	386
03024	379	379
03025	762	762
03026	527	527
03027	594	594
03028	298	298
03029	435	435
03030	394	394
03031	497	497
03032	557	557
03033	553	553
03034	588	588
03035	221	221
03036	241	241
03037	412	412
03038	380	380
03039	749	749
03040	478	478
03041	320	320
04001	724	724
04002	619	619
04003	380	380
04004	642	642
04005	478	478
04006	554	554
04007	580	580
04008	515	515
04009	548	548
04010	614	614
04011	493	493
04012	554	554
04013	588	588
04014	505	505
04015	590	590
04016	826	826
04017	626	626
04018	456	456
04019	337	337
04020	440	440
04021	673	673
04022	490	490
04023	656	656
04024	448	448
04025	537	537
04026	464	464
04027	636	636
04028	404	404
04029	409	409
04030	665	665
04031	512	512
04032	547	547
04033	492	492
04034	430	430
04035	575	575
04036	559	559
04037	882	882
04038	538	538
05001	376	376
05002	317	317
05003	494	494
05004	635	635
05005	403	403
05006	346	346
05007	487	487
05008	494	494
05009	563	563
05010	343	343
05011	484	484
05012	299	299
05013	384	384
05014	351	351
05015	421	421
05016	421	421
05017	371	371
05018	444	444
05019	447	447
05020	541	541
05021	508	508
05022	530	530
05023	796	796
05024	510	510
05025	420	420
05026	442	442
05027	536	536
05028	476	476
05029	467	467
05030	301	301
05031	344	344
05032	564	564
05033	485	485
05034	535	535
05035	559	559
05036	251	251
05037	519	519
05038	390	390
05039	366	366
05040	309	309
05041	266	266
06001	411	411
06002	389	389
06003	401	401
06004	289	289
06005	259	259
06006	398	398
06007	328	328
06008	370	370
06009	317	317
06010	222	222
06011	325	325
06012	267	267
06013	290	290
06014	340	340
06015	289	289
06016	383	383
06017	234	234
06018	264	264
06019	325	325
06020	215	215
06021	199	199
06022	220	220
06023	189	189
06024	179	179
06025	193	193
06026	272	272
06027	209	209
06028	170	170
06029	396	396
06030	288	288
06031	383	383
06032	332	332
06033	353	353
06034	375	375
06035	337	337
06036	430	430
06037	378	378
06038	380	380
06039	301	301
06040	324	324
06041	369	369
06042	364	364
06043	322	322
06044	354	354
06045	385	385
06046	253	253
06047	268	268
06048	370	370
07001	313	313
07002	336	336
07003	371	371
07004	368	368
07005	294	294
07006	450	450
07007	339	339
07008	291	291
07009	619	619
07010	405	405
07011	370	370
07012	314	314
07013	212	212
07014	367	367
07015	339	339
07016	262	262
07017	284	284
07018	305	305
07019	324	324
07020	261	261
07021	265	265
07022	291	291
07023	353	353
07024	277	277
07025	275	275
07026	287	287
07027	286	286
07028	253	253
07029	295	295
07030	249	249
07031	231	231
07032	467	467
07033	465	465
07034	408	408
07035	377	377
07036	424	424
07037	363	363
07038	297	297
07039	322	322
07040	290	290
07041	355	355
07042	304	304
07043	355	355
07044	301	301
07045	319	319
07046	141	141
08001	309	309
08002	329	329
08003	423	423
08004	432	432
08005	423	423
08006	384	384
08007	426	426
08008	371	371
08009	253	253
08010	476	476
08011	299	299
08012	321	321
08013	409	409
08014	255	255
08015	319	319
08016	106	106
08017	332	332
08018	337	337
08019	398	398
08020	427	427
08021	461	461
08022	354	354
08023	302	302
08024	229	229
08025	352	352
08026	336	336
08027	412	412
08028	385	385
08029	417	417
08030	375	375
08031	269	269
08032	298	298
08033	342	342
