Precinct	total_votes	votes|Paul J. Montes Ii	votes|Dennis Deer	votes|Lupe Aguirre	votes|Darryl D. Smith	votes|Eddie Johnson Iii
01003	200	29	86	54	9	22
01004	198	27	67	81	9	14
01005	5	1	3	1	0	0
01006	164	25	56	61	10	12
01010	155	21	66	54	7	7
01012	159	19	69	52	7	12
01014	44	4	18	14	3	5
01015	34	5	16	11	0	2
01033	196	31	62	77	14	12
01035	202	34	64	85	9	10
01036	158	18	67	55	5	13
01037	193	23	76	80	7	7
01039	155	27	49	67	5	7
01040	216	28	49	88	14	37
02001	61	4	25	25	6	1
02003	209	19	99	70	10	11
02004	138	16	59	48	3	12
02005	198	34	70	78	7	9
02014	201	27	81	65	7	21
02016	9	0	3	5	0	1
02017	234	22	116	77	8	11
02021	197	32	86	61	10	8
03001	53	9	12	3	11	18
03003	209	41	53	25	37	53
03005	134	15	38	12	35	34
03006	224	49	73	61	17	24
03008	177	17	29	18	46	67
03010	108	14	23	8	33	30
03013	275	46	115	63	24	27
03014	206	28	61	48	25	44
03016	209	16	52	10	61	70
03017	228	40	56	47	38	47
03018	173	18	33	34	37	51
03021	155	15	42	30	24	44
03022	221	35	86	60	15	25
03024	66	11	11	4	14	26
03025	316	47	121	84	26	38
03026	299	80	113	42	31	33
03027	106	12	34	33	9	18
03028	179	20	34	16	53	56
03029	85	9	17	5	24	30
03032	218	33	80	41	28	36
03033	204	36	73	55	14	26
03034	254	41	88	48	28	49
03036	128	12	33	8	35	40
03037	61	3	13	7	18	20
03039	257	34	110	69	15	29
03040	261	26	71	34	50	80
04013	61	6	23	25	3	4
06004	137	18	28	9	34	48
06005	114	9	30	7	41	27
06007	7	2	2	0	3	0
06009	163	19	38	10	46	50
06010	24	2	7	0	9	6
06011	170	17	48	8	45	52
06012	85	9	6	1	27	42
06015	134	9	18	10	35	62
06018	123	12	23	15	33	40
06021	100	10	24	3	36	27
06022	114	9	20	7	38	40
06023	83	3	24	4	33	19
06024	113	11	16	7	52	27
06025	106	8	19	7	33	39
06026	130	9	27	6	42	46
06027	94	10	24	3	31	26
06028	94	5	20	5	33	31
06048	68	7	6	4	28	23
11002	13	2	1	2	3	5
11006	214	29	57	85	9	34
11007	82	10	28	17	9	18
15002	112	5	34	8	42	23
15003	93	7	17	8	33	28
15007	108	7	33	2	35	31
15017	148	10	43	6	41	48
15018	89	10	28	2	24	25
15020	112	6	34	11	28	33
15021	120	6	34	5	44	31
15022	106	8	25	3	42	28
15023	124	13	37	5	43	26
15024	105	4	24	6	43	28
16003	112	12	29	5	46	20
16004	121	8	25	10	41	37
16005	107	8	40	5	35	19
16006	144	13	44	6	51	30
16009	160	13	37	4	47	59
16010	83	7	22	7	28	19
16014	112	4	28	2	48	30
16015	162	10	45	8	48	51
16016	138	15	45	2	37	39
16020	117	7	37	7	42	24
16021	47	4	17	4	14	8
16022	100	10	15	8	44	23
16024	78	10	28	5	23	12
16025	169	15	38	9	64	43
16026	134	9	36	10	50	29
16027	126	5	15	5	83	18
16028	148	3	21	5	70	49
16029	121	10	19	11	40	41
16030	111	8	17	4	41	41
16031	172	7	56	8	61	40
16033	119	11	24	6	40	38
16034	111	10	30	7	33	31
16036	111	1	27	3	55	25
17003	164	16	36	8	49	55
17005	141	9	36	5	45	46
17006	138	17	32	19	40	30
17008	127	12	36	12	33	34
17011	117	12	52	5	18	30
17013	156	15	40	9	50	42
17016	14	1	3	3	1	6
17017	151	15	37	18	45	36
17019	98	10	16	4	40	28
17023	124	16	46	5	25	32
17025	120	8	30	12	36	34
17028	126	14	31	5	39	37
17031	98	5	33	3	25	32
17032	126	8	26	10	38	44
17033	101	8	23	7	20	43
17034	130	10	53	6	25	36
17035	122	11	37	4	32	38
17036	176	8	70	5	55	38
17037	149	8	41	5	48	47
17040	0	0	0	0	0	0
18005	120	9	36	5	33	37
18027	148	18	33	12	38	47
18033	120	12	28	6	34	40
18039	139	9	30	23	32	45
18047	141	8	37	12	32	52
18048	151	24	36	13	42	36
18049	113	8	35	8	29	33
18050	129	17	24	15	35	38
20002	66	6	19	2	21	18
20004	12	1	4	0	4	3
20006	75	7	24	3	19	22
20007	163	8	24	17	56	58
20011	210	20	42	14	62	72
20012	115	13	21	9	28	44
20013	209	21	37	9	76	66
20021	24	3	6	1	8	6
20023	181	20	37	8	51	65
20025	115	8	19	9	44	35
20027	96	7	18	3	34	34
20028	121	15	18	9	31	48
20029	259	17	70	8	81	83
20030	85	9	16	3	20	37
20031	195	15	61	20	51	48
20032	150	10	29	13	48	50
20035	56	7	9	5	18	17
20036	56	9	9	0	17	21
20037	67	5	12	4	11	35
20038	64	3	8	3	34	16
20039	19	0	6	0	5	8
22019	61	8	31	6	6	10
22021	176	19	81	10	30	36
24001	139	14	74	4	24	23
24002	138	12	72	2	28	24
24003	130	6	66	5	31	22
24004	113	11	39	4	31	28
24005	75	4	38	6	10	17
24006	149	17	79	5	13	35
24008	72	10	33	5	11	13
24009	115	15	49	12	18	21
24010	70	10	22	6	19	13
24011	138	5	84	1	21	27
24012	76	9	44	5	10	8
24013	58	1	34	4	10	9
24014	111	17	33	8	20	33
24015	62	7	37	1	12	5
24017	121	13	46	7	27	28
24018	164	10	77	3	27	47
24019	191	19	78	15	43	36
24020	113	6	42	6	23	36
24021	66	3	34	4	12	13
24022	173	20	73	12	27	41
24023	117	17	48	3	17	32
24024	163	25	60	8	32	38
24025	111	6	66	7	13	19
24026	254	13	156	8	30	47
24027	159	14	78	6	25	36
24028	122	12	66	5	20	19
24029	124	12	60	6	18	28
24030	88	5	44	3	15	21
24031	156	17	84	4	19	32
24032	80	8	40	4	12	16
24033	82	8	39	2	12	21
24034	128	10	62	7	25	24
24035	120	16	47	8	23	26
24036	184	20	97	8	25	34
24037	84	3	47	6	17	11
24038	131	12	61	10	23	25
24039	189	23	82	37	20	27
24040	139	15	56	4	25	39
24041	125	11	55	7	28	24
25003	169	19	63	64	10	13
25004	156	16	34	33	31	42
25006	60	22	22	11	3	2
25010	168	28	63	47	8	22
25014	86	31	23	11	7	14
25016	144	24	58	45	10	7
25018	71	15	25	18	8	5
25020	123	7	26	7	27	56
25021	157	17	55	50	16	19
25025	159	27	65	50	6	11
25027	125	21	37	44	7	16
25029	184	22	31	27	38	66
25031	180	34	68	48	10	20
27001	2	1	0	1	0	0
27002	165	28	53	28	29	27
27007	213	36	65	80	12	20
27010	224	24	99	8	38	55
27011	33	2	16	7	2	6
27013	281	29	71	41	68	72
27014	81	4	31	5	19	22
27016	100	10	41	33	7	9
27017	149	14	35	21	36	43
27018	119	14	20	16	37	32
27025	165	14	48	27	29	47
27027	166	17	55	26	39	29
27030	90	12	31	12	19	16
27032	137	14	35	23	35	30
27033	137	29	49	25	13	21
27039	143	10	58	9	24	42
27040	182	20	60	49	28	25
27041	177	20	68	10	37	42
27043	91	8	17	12	28	26
27045	209	32	85	60	7	25
27049	127	12	45	7	22	41
27050	163	19	52	7	44	41
28001	0	0	0	0	0	0
28003	9	1	4	1	1	2
28004	87	19	25	22	8	13
28005	113	11	49	8	20	25
28006	101	13	40	21	10	17
28008	109	16	40	33	14	6
28009	60	5	14	1	22	18
28010	182	15	61	46	25	35
28011	228	28	65	69	29	37
28016	96	7	43	4	25	17
28017	50	1	22	0	10	17
28018	130	16	41	11	35	27
28019	133	15	41	55	11	11
28027	133	21	53	34	8	17
28028	184	45	69	49	8	13
28029	61	6	20	1	19	15
28030	35	1	16	2	5	11
28032	132	10	39	12	36	35
28034	201	13	88	16	46	38
28035	145	8	60	8	27	42
28036	36	2	15	1	7	11
28040	61	3	30	1	13	14
28045	108	16	42	33	10	7
28046	230	22	80	79	16	33
29002	93	8	26	5	26	28
29006	133	13	50	8	30	32
42003	177	36	66	50	11	14
42009	167	28	52	57	13	17
42010	193	29	77	49	20	18
42012	167	39	56	51	9	12
42014	72	7	32	15	7	11
42016	165	31	63	48	10	13
42017	186	22	73	60	12	19
42018	106	13	49	30	6	8
42021	134	24	42	41	11	16
42025	131	18	40	48	11	14
42033	90	13	38	30	3	6
42036	230	39	69	101	11	10
42040	52	5	14	14	7	12
42041	155	30	49	49	13	14
42042	221	35	74	69	18	25
