Precinct	total_votes	votes|Al Riley	votes|William Calloway
05001	181	50	131
05006	186	73	113
05010	25	15	10
05011	168	84	84
05014	224	98	126
05018	75	36	39
05023	345	174	171
05025	186	85	101
05026	225	86	139
05028	267	107	160
05029	248	86	162
05031	179	52	127
05032	291	108	183
05035	39	19	20
05036	126	50	76
05037	227	114	113
05038	218	65	153
05040	178	62	116
05041	149	79	70
07001	25	11	14
07002	152	64	88
07003	236	113	123
07004	199	80	119
07005	150	50	100
07006	224	103	121
07007	150	60	90
07008	148	53	95
07009	316	136	180
07010	208	91	117
07011	153	69	84
07012	155	75	80
07013	124	54	70
07014	173	77	96
07015	181	78	103
07016	146	78	68
07017	132	55	77
07018	145	68	77
07019	187	82	105
07020	124	61	63
07021	137	58	79
07022	157	66	91
07023	226	100	126
07024	153	76	77
07025	116	69	47
07026	163	89	74
07027	159	85	74
07028	111	59	52
07029	151	77	74
07030	115	50	65
07031	99	51	48
07032	304	151	153
07033	294	137	157
07034	249	110	139
07035	183	86	97
07036	248	121	127
07037	197	96	101
07038	155	76	79
07039	172	71	101
07040	153	69	84
07041	166	89	77
07042	160	81	79
07043	173	81	92
07044	134	57	77
07045	134	69	65
07046	103	51	52
08004	150	67	83
08005	2	0	2
08007	242	108	134
08009	155	79	76
08017	190	90	100
08027	177	89	88
08028	209	105	104
08032	144	62	82
08036	207	113	94
08039	184	92	92
08042	242	120	122
08046	145	68	77
08049	10	7	3
08050	82	43	39
08053	103	50	53
09001	192	100	92
09002	176	98	78
09003	110	48	62
09004	133	75	58
09005	189	84	105
09006	166	74	92
09007	140	64	76
09008	147	69	78
09009	213	103	110
09010	134	69	65
09011	129	61	68
09013	221	108	113
09014	235	104	131
09015	107	49	58
09016	162	79	83
09017	125	60	65
09018	127	70	57
09019	166	81	85
09020	207	96	111
09021	157	84	73
09022	201	107	94
09026	132	57	75
09027	165	82	83
09028	108	53	55
09029	146	87	59
09030	132	68	64
09031	122	52	70
09032	183	87	96
09033	120	66	54
09034	129	71	58
09035	199	94	105
09037	244	134	110
09038	164	82	82
09039	212	128	84
09040	220	94	126
09041	139	61	78
09043	147	69	78
09044	182	100	82
09045	135	74	61
09046	184	95	89
10001	135	62	73
10002	142	81	61
10003	124	66	58
10004	114	61	53
10005	96	47	49
10006	105	55	50
10007	82	40	42
10008	70	30	40
10009	111	63	48
10010	128	71	57
10011	135	73	62
10012	82	35	47
10013	138	72	66
10014	150	96	54
10015	359	187	172
10016	88	48	40
10017	179	91	88
10018	79	45	34
10019	111	59	52
10020	133	67	66
10021	89	53	36
10022	77	41	36
10023	103	57	46
10024	116	60	56
10025	46	25	21
10026	84	56	28
10027	134	64	70
10028	131	70	61
10029	107	55	52
10030	110	65	45
10031	92	52	40
10032	110	65	45
10033	97	64	33
10034	80	43	37
10035	145	90	55
10036	36	20	16
34002	31	19	12
34004	126	67	59
34018	143	76	67
34022	149	79	70
34023	154	87	67
34024	167	68	99
34027	160	80	80
34028	112	75	37
34030	137	73	64
34036	181	102	79
34037	112	54	58
34038	80	40	40
34039	131	79	52
34041	121	52	69
34053	103	44	59
