Precinct	total_votes	votes|John J. Cullerton	votes|Ross Outten
01003	198	110	88
01004	187	107	80
01005	166	73	93
01006	165	83	82
01008	157	92	65
01010	165	86	79
01011	185	83	102
01014	153	99	54
01021	179	92	87
01028	72	54	18
01032	97	48	49
01033	202	106	96
01035	210	131	79
01036	163	77	86
01037	193	110	83
01038	28	10	18
01039	151	87	64
01040	180	113	67
02001	177	86	91
02003	206	101	105
02004	140	72	68
02005	193	111	82
02006	148	80	68
02007	164	94	70
02008	180	90	90
02012	68	40	28
02014	20	14	6
02015	187	106	81
02016	155	93	62
02017	0	0	0
02020	108	74	34
02021	201	92	109
02022	185	126	59
02024	181	135	46
02025	176	97	79
02026	138	91	47
02028	150	91	59
02030	156	91	65
02031	241	152	89
02033	296	199	97
02037	180	115	65
02038	35	21	14
02044	114	82	32
26028	107	63	44
26032	146	86	60
27007	204	121	83
27012	85	49	36
27013	80	54	26
27027	5	4	1
27035	3	2	1
27037	8	7	1
27040	27	20	7
27042	33	17	16
27043	6	4	2
27046	96	62	34
29023	32	23	9
29029	151	101	50
29031	131	93	38
29032	107	75	32
29038	0	0	0
29039	73	51	22
30015	154	81	73
30017	73	46	27
30021	114	85	29
32001	218	144	74
32002	168	101	67
32004	180	119	61
32005	177	109	68
32006	182	113	69
32007	180	118	62
32008	182	112	70
32009	182	121	61
32010	198	128	70
32013	173	115	58
32015	192	125	67
32016	200	113	87
32018	149	106	43
32019	175	109	66
32021	227	151	76
32023	161	97	64
32024	98	72	26
32025	193	124	69
32027	156	97	59
32029	226	130	96
32030	139	107	32
32031	188	119	69
32032	198	124	74
32033	189	117	72
32034	172	100	72
32035	153	103	50
32036	176	106	70
32037	162	102	60
32038	155	115	40
32039	195	129	66
32040	220	144	76
32041	200	132	68
32042	157	101	56
33002	269	149	120
33003	28	14	14
33005	148	88	60
33007	139	87	52
33008	249	156	93
33010	17	7	10
33018	250	120	130
33019	107	56	51
33023	15	7	8
33024	402	224	178
33027	1	1	0
36007	204	139	65
36014	164	107	57
36015	189	130	59
36016	132	84	48
36017	188	121	67
36018	152	105	47
36020	76	57	19
36024	95	63	32
36026	113	85	28
36028	95	76	19
36029	73	47	26
36030	131	90	41
38002	178	118	60
38003	134	99	35
38004	153	106	47
38005	149	98	51
38006	129	91	38
38007	134	100	34
38008	134	88	46
38009	170	115	55
38010	126	79	47
38011	171	118	53
38012	152	105	47
38013	169	106	63
38014	162	112	50
38015	147	108	39
38016	159	107	52
38017	175	122	53
38018	171	111	60
38019	196	132	64
38020	154	100	54
38021	148	105	43
38022	181	121	60
38023	193	132	61
38024	158	115	43
38025	136	103	33
38026	150	105	45
38027	143	98	45
38028	179	120	59
38029	159	112	47
38030	147	104	43
38031	182	113	69
38032	142	99	43
38033	161	119	42
38034	164	116	48
38035	76	55	21
38036	146	102	44
38037	170	105	65
38038	147	100	47
38039	205	139	66
38040	178	124	54
39001	212	128	84
39002	166	103	63
39003	244	123	121
39004	193	126	67
39005	173	108	65
39006	187	115	72
39007	153	100	53
39008	186	114	72
39009	159	91	68
39010	103	64	39
39011	157	101	56
39012	167	100	67
39013	127	88	39
39014	152	85	67
39015	186	120	66
39016	115	62	53
39017	228	146	82
39018	197	140	57
39019	201	121	80
39020	223	156	67
39021	167	115	52
39022	118	59	59
39023	208	144	64
39024	228	137	91
39025	148	90	58
39026	155	105	50
39027	44	25	19
39028	128	73	55
39029	104	66	38
39030	218	121	97
39032	153	96	57
39033	204	120	84
39034	188	105	83
39035	159	97	62
39036	56	45	11
39037	232	141	91
39038	129	89	40
39039	108	63	45
39040	159	98	61
39041	195	120	75
39042	248	168	80
39043	213	130	83
39044	147	84	63
39045	192	119	73
40001	158	108	50
40002	184	116	68
40003	280	174	106
40005	222	143	79
40006	241	127	114
40007	245	153	92
40008	282	160	122
40010	52	33	19
40011	230	133	97
40012	155	89	66
40013	353	173	180
40014	125	84	41
40015	180	116	64
40016	288	142	146
40017	203	126	77
40019	229	143	86
40020	170	102	68
40021	287	180	107
40023	278	144	134
40024	145	90	55
40025	221	127	94
40029	214	139	75
40030	214	146	68
40031	79	42	37
40032	279	147	132
40034	150	101	49
40038	295	135	160
41003	178	122	56
41006	254	157	97
41009	173	107	66
41011	63	42	21
41012	161	123	38
41014	221	152	69
41016	147	111	36
41017	158	109	49
41019	218	119	99
41021	180	125	55
41022	223	139	84
41023	74	58	16
41024	134	82	52
41026	188	132	56
41027	110	77	33
41030	163	107	56
41032	152	98	54
41033	130	92	38
41035	224	142	82
41038	171	119	52
41039	225	146	79
41045	61	43	18
41046	221	141	80
41047	193	115	78
43002	159	107	52
43003	181	127	54
43004	192	130	62
43005	142	89	53
43006	115	64	51
