Precinct	total_votes	votes|Melissa Conyears-Ervin
01008	118	118
01011	34	34
01012	226	226
01021	18	18
01032	33	33
01033	5	5
01037	32	32
02001	120	120
02006	150	150
02007	160	160
02008	171	171
02015	157	157
02017	196	196
02020	83	83
02025	179	179
24017	30	30
24019	166	166
24020	74	74
24032	69	69
24041	111	111
26004	9	9
26017	100	100
26019	40	40
26028	154	154
26046	84	84
27001	156	156
27003	93	93
27004	79	79
27005	110	110
27008	102	102
27010	132	132
27011	87	87
27013	176	176
27014	58	58
27015	67	67
27016	24	24
27017	134	134
27019	60	60
27022	86	86
27023	122	122
27024	74	74
27025	106	106
27026	139	139
27027	151	151
27029	88	88
27030	81	81
27031	122	122
27032	120	120
27033	85	85
27034	110	110
27035	142	142
27036	121	121
27037	9	9
27039	123	123
27040	137	137
27043	88	88
27044	91	91
27045	16	16
27049	115	115
27050	136	136
28001	0	0
28002	112	112
28003	103	103
28007	112	112
28009	119	119
28013	136	136
28015	45	45
28016	87	87
28017	96	96
28020	123	123
28021	113	113
28022	122	122
28023	146	146
28024	117	117
28025	209	209
28026	148	148
28030	33	33
28032	110	110
28033	157	157
28036	73	73
28037	173	173
28038	60	60
28040	176	176
28042	47	47
28044	97	97
29006	3	3
32002	161	161
32004	173	173
32005	175	175
32006	200	200
32029	160	160
32031	187	187
32032	194	194
32033	97	97
32034	169	169
32035	158	158
32036	177	177
32037	70	70
37002	84	84
37003	101	101
37004	97	97
37007	89	89
37008	84	84
37012	75	75
37013	111	111
37014	2	2
37019	106	106
37020	28	28
37021	125	125
37022	12	12
37027	2	2
37028	114	114
37030	4	4
43005	114	114
43007	120	120
43010	212	212
43011	96	96
43023	123	123
