Precinct	total_votes	votes|Sara Feigenholtz
02028	176	176
02030	161	161
02031	232	232
02033	305	305
02035	168	168
02037	187	187
02038	56	56
02044	119	119
27009	0	0
27012	84	84
27046	100	100
43004	197	197
43008	161	161
43012	144	144
43013	189	189
43014	208	208
43015	165	165
43019	213	213
43025	193	193
43026	153	153
43027	188	188
43028	212	212
43032	213	213
43033	220	220
43034	168	168
43036	75	75
43038	171	171
43042	189	189
43043	219	219
44001	338	338
44003	205	205
44004	224	224
44005	234	234
44006	257	257
44007	179	179
44008	291	291
44010	167	167
44011	65	65
44012	245	245
44013	138	138
44014	156	156
44015	213	213
44017	315	315
44018	205	205
44019	284	284
44020	207	207
44021	243	243
44022	273	273
44023	212	212
44024	194	194
44025	4	4
44026	225	225
44027	254	254
44028	216	216
44029	179	179
44031	160	160
44032	215	215
44033	215	215
44034	253	253
44035	302	302
44036	198	198
44037	244	244
44038	151	151
44039	192	192
44040	141	141
44041	251	251
46003	299	299
46005	213	213
46007	293	293
46009	251	251
46010	271	271
46011	170	170
46013	214	214
46015	228	228
46017	280	280
46018	239	239
46019	192	192
46024	269	269
46026	110	110
46027	272	272
46028	295	295
46029	187	187
46030	224	224
46031	217	217
46033	267	267
46034	228	228
46035	201	201
46036	243	243
46038	174	174
46039	214	214
