Precinct	total_votes	votes|Gregory Harris
33018	79	79
39013	1	1
39022	114	114
39030	63	63
40001	152	152
40002	172	172
40003	272	272
40004	13	13
40005	225	225
40006	245	245
40007	244	244
40008	283	283
40009	126	126
40010	44	44
40011	218	218
40012	164	164
40013	365	365
40014	129	129
40015	175	175
40016	287	287
40017	186	186
40018	140	140
40019	226	226
40020	175	175
40021	271	271
40022	231	231
40023	291	291
40024	139	139
40025	274	274
40026	239	239
40027	271	271
40029	209	209
40030	206	206
40031	278	278
40032	283	283
40033	283	283
40034	139	139
40035	115	115
40036	208	208
40037	193	193
40038	302	302
40039	5	5
46001	181	181
46002	208	208
46004	213	213
46006	158	158
46008	154	154
46012	265	265
46014	202	202
46016	273	273
46020	178	178
46021	137	137
46022	132	132
46023	172	172
46025	199	199
46026	116	116
46029	7	7
46032	202	202
46037	169	169
46040	225	225
47005	224	224
47010	327	327
47015	347	347
47019	316	316
47020	230	230
47022	281	281
47023	314	314
47026	300	300
47028	240	240
47030	304	304
47031	211	211
47032	320	320
47034	281	281
47036	296	296
47037	258	258
47038	242	242
47039	4	4
47041	147	147
47042	252	252
47045	260	260
48004	231	231
48007	2	2
48014	14	14
48017	242	242
48020	220	220
48021	256	256
48023	272	272
48024	230	230
48035	149	149
48038	49	49
