Precinct	total_votes	votes|John C. D'Amico
33002	118	118
33007	50	50
35030	36	36
39001	201	201
39002	159	159
39004	184	184
39005	170	170
39006	178	178
39007	147	147
39008	183	183
39009	168	168
39010	92	92
39011	159	159
39012	100	100
39013	127	127
39014	147	147
39015	181	181
39016	123	123
39017	224	224
39018	181	181
39019	194	194
39024	19	19
39025	29	29
39026	160	160
39027	43	43
39029	98	98
39030	142	142
39031	22	22
39032	158	158
39033	195	195
39035	137	137
39036	59	59
39037	224	224
39038	129	129
39039	117	117
39040	158	158
39041	188	188
39042	224	224
39043	204	204
39044	130	130
39045	170	170
41006	221	221
41009	163	163
41014	203	203
41019	183	183
41032	147	147
41039	218	218
41047	184	184
45032	16	16
50024	123	123
50025	20	20
