Precinct	total_votes	votes|Merry Marwig
38002	149	149
38007	42	42
38012	127	127
38017	26	26
38020	136	136
38024	1	1
38028	156	156
41001	123	123
41002	136	136
41003	86	86
41004	181	181
41005	160	160
41007	166	166
41008	164	164
41010	207	207
41011	167	167
41013	139	139
41015	186	186
41016	133	133
41017	173	173
41018	131	131
41020	125	125
41021	160	160
41022	201	201
41023	118	118
41025	73	73
41026	168	168
41027	97	97
41031	189	189
41033	126	126
41034	142	142
41035	204	204
41036	155	155
41037	173	173
41040	167	167
41041	123	123
41042	134	134
41043	143	143
41044	147	147
41045	121	121
41046	187	187
