Precinct	total_votes	votes|Curtis J. Tarver Ii	votes|Angelique N. Collins	votes|Anne Marie Miles	votes|Adrienne Irmer	votes|Flynn Rush	votes|William Calloway	votes|Grace Chan Mckibben
04001	371	90	32	24	78	36	6	105
04005	296	151	50	9	25	30	9	22
04009	383	123	64	27	52	73	13	31
04010	360	156	56	14	50	54	10	20
04015	283	90	49	9	29	78	11	17
04022	298	78	21	20	60	42	11	66
04023	324	64	19	12	75	31	8	115
04027	349	106	21	21	65	47	9	80
04031	350	98	39	21	54	71	11	56
04034	235	80	24	17	41	45	8	20
05001	206	40	21	18	21	47	51	8
05003	272	41	16	18	57	19	7	114
05007	272	54	65	18	38	63	9	25
05008	315	65	14	36	80	10	1	109
05009	334	53	36	12	51	59	7	116
05011	323	71	15	33	74	31	17	82
05014	242	79	26	12	57	37	19	12
05017	110	27	22	19	5	21	10	6
05018	270	57	19	22	38	35	11	88
05019	316	54	14	12	49	13	3	171
05020	327	82	30	20	89	38	10	58
05021	140	22	15	17	28	19	2	37
05022	362	76	46	44	76	40	7	73
05023	473	83	36	37	112	61	14	130
05024	309	82	35	17	47	36	6	86
05025	286	80	37	26	59	48	17	19
05026	263	51	43	17	28	68	50	6
05027	245	35	10	23	68	10	3	96
05028	182	54	20	15	42	23	22	6
05029	282	56	24	17	45	70	57	13
05031	202	34	23	16	28	50	47	4
05032	336	90	32	40	57	67	43	7
05033	290	50	65	19	24	111	13	8
05034	304	58	7	28	82	9	5	115
05035	313	66	20	24	69	34	2	98
05037	330	53	22	40	83	32	19	81
05038	236	42	32	12	22	69	52	7
05039	255	47	11	18	55	31	2	91
05040	201	51	20	14	27	49	33	7
05041	181	46	21	25	20	23	8	38
07005	175	46	18	9	15	52	26	9
07006	268	81	34	17	21	76	26	13
07007	174	42	25	14	12	51	24	6
07008	167	57	20	12	13	37	18	10
07009	370	103	64	36	31	79	42	15
07011	158	43	18	8	10	52	23	4
07012	172	48	24	12	16	45	18	9
07013	141	39	24	20	12	24	12	10
07014	211	70	25	17	13	62	16	8
07016	146	59	13	13	9	36	13	3
07017	133	54	14	11	5	30	14	5
07018	164	52	15	12	15	46	21	3
07021	112	29	12	15	12	35	6	3
07022	172	43	40	20	17	34	15	3
07025	35	14	3	5	2	8	2	1
07032	194	76	55	10	13	27	10	3
07033	339	172	49	26	26	41	19	6
07034	268	127	39	12	14	43	27	6
07035	207	76	36	15	13	46	15	6
07037	212	72	35	17	10	38	27	13
07046	120	36	13	10	8	34	14	5
10001	159	32	20	27	25	29	17	9
10004	127	26	13	19	21	30	7	11
10006	113	18	9	26	15	13	12	20
10007	92	6	17	23	15	8	8	15
10008	81	18	17	11	5	16	8	6
10010	144	19	21	25	16	17	20	26
10011	157	23	26	30	23	16	18	21
10012	84	7	6	22	6	11	14	18
10014	157	31	24	22	24	16	19	21
10019	125	30	12	29	11	21	6	16
10020	148	37	16	28	19	9	20	19
10021	106	28	11	23	10	7	6	21
10022	85	12	10	21	13	11	8	10
10023	117	12	22	26	14	15	13	15
10025	48	10	7	7	8	7	5	4
10026	91	15	10	24	14	10	8	10
10028	153	23	16	24	39	20	15	16
10029	114	21	19	23	20	5	15	11
10030	129	15	18	26	24	14	14	18
10031	95	12	20	14	20	14	7	8
10032	122	12	21	23	20	9	14	23
10033	106	18	20	24	9	11	10	14
10034	22	5	5	3	0	4	5	0
10035	166	50	21	20	28	13	15	19
10036	44	16	3	4	3	12	3	3
20024	156	37	42	16	12	27	6	16
20026	234	64	40	21	18	45	13	33
20034	252	66	46	16	32	35	6	51
