Precinct	total_votes	votes|André Thapedi
06004	107	107
06005	82	82
06006	201	201
06007	172	172
06009	127	127
06011	132	132
06012	95	95
06015	56	56
06018	74	74
06019	75	75
06021	81	81
06022	7	7
06023	63	63
06024	84	84
06026	86	86
06028	26	26
06030	125	125
06032	188	188
06033	175	175
06040	142	142
06047	123	123
06048	174	174
08026	0	0
15007	61	61
15022	74	74
16006	73	73
16016	114	114
16024	70	70
16029	98	98
16030	65	65
16033	81	81
17001	51	51
17003	133	133
17008	13	13
17011	20	20
17013	114	114
17017	121	121
17019	80	80
17030	56	56
17031	77	77
17032	12	12
17033	87	87
17034	29	29
17035	96	96
17036	132	132
17037	26	26
18001	131	131
18002	116	116
18003	109	109
18005	114	114
18006	68	68
18011	137	137
18012	62	62
18015	2	2
18017	163	163
18021	166	166
18023	150	150
18024	133	133
18025	146	146
18027	131	131
18028	127	127
18029	171	171
18030	139	139
18031	178	178
18033	113	113
18039	130	130
18040	183	183
18042	130	130
18043	2	2
18044	129	129
18045	134	134
18046	48	48
18047	116	116
18048	140	140
18049	94	94
18050	69	69
20008	51	51
20028	107	107
