Precinct	total_votes	votes|Bill Cunningham
17018	4	4
18009	129	129
18019	11	11
18026	61	61
18032	181	181
18034	226	226
19001	233	233
19002	335	335
19003	136	136
19004	250	250
19005	303	303
19006	221	221
19007	230	230
19008	195	195
19009	182	182
19010	323	323
19011	186	186
19012	169	169
19013	311	311
19015	234	234
19016	229	229
19017	199	199
19018	234	234
19019	313	313
19021	173	173
19022	261	261
19023	244	244
19024	167	167
19025	242	242
19026	247	247
19027	245	245
19028	271	271
19029	183	183
19030	176	176
19032	204	204
19033	194	194
19034	227	227
19035	259	259
19036	283	283
19037	259	259
19038	219	219
19039	59	59
19041	180	180
19044	213	213
19045	248	248
19046	258	258
19050	186	186
19051	293	293
19052	200	200
19053	223	223
19054	137	137
19055	162	162
19056	269	269
19057	216	216
21001	195	195
21003	191	191
21007	194	194
21008	183	183
21009	211	211
21013	143	143
21014	233	233
21015	44	44
21016	153	153
21018	181	181
21022	50	50
21026	16	16
21029	191	191
21032	165	165
21036	36	36
21042	41	41
21048	26	26
34049	8	8
