Precinct	total_votes	votes|Benjamin Thomas Wolf	votes|Mike Quigley	votes|Sameena Mustafa	votes|Steven J. Schwartzberg
01003	254	35	136	77	6
01004	235	32	121	74	8
01005	226	29	123	64	10
01006	207	30	102	71	4
01008	205	25	97	75	8
01010	218	30	111	75	2
01011	238	35	124	67	12
01014	179	14	110	53	2
01021	237	30	126	75	6
01028	81	14	39	20	8
01032	135	19	61	48	7
01033	262	30	153	72	7
01035	257	41	128	85	3
01036	203	27	118	55	3
01037	219	28	125	64	2
01038	40	1	19	18	2
01039	194	27	98	61	8
01040	225	42	97	72	14
02001	219	32	101	81	5
02003	268	36	136	91	5
02004	178	24	94	59	1
02005	251	19	127	94	11
02006	192	19	107	59	7
02007	195	38	94	57	6
02008	233	33	117	79	4
02012	84	8	55	19	2
02014	32	3	13	15	1
02015	222	30	116	61	15
02016	203	35	107	55	6
02017	0	0	0	0	0
02020	141	5	98	34	4
02021	239	33	116	79	11
02022	222	10	167	37	8
02024	218	23	154	30	11
02025	224	29	128	59	8
02026	166	14	108	38	6
02028	180	11	117	46	6
02030	185	14	130	36	5
02031	288	17	212	46	13
02033	353	18	262	56	17
02037	210	13	153	34	10
02038	39	2	32	3	2
02044	139	10	103	19	7
26028	126	19	61	39	7
26032	175	26	91	51	7
27007	259	55	114	81	9
27012	106	8	69	27	2
27013	86	15	37	30	4
27027	5	0	4	1	0
27035	4	0	2	2	0
27037	10	3	5	2	0
27040	30	7	12	10	1
27042	44	9	22	10	3
27043	8	0	5	2	1
27046	114	10	77	20	7
29023	33	6	17	8	2
29029	163	26	82	48	7
29031	142	18	95	22	7
29032	118	15	72	23	8
29038	0	0	0	0	0
29039	79	18	42	16	3
30015	174	8	107	44	15
30017	83	4	51	26	2
30021	125	18	76	21	10
32001	249	25	147	66	11
32002	207	25	119	54	9
32004	236	35	141	55	5
32005	225	26	116	75	8
32006	239	18	149	66	6
32007	220	18	141	58	3
32008	213	20	144	44	5
32009	210	20	135	49	6
32010	225	23	140	53	9
32013	202	19	135	45	3
32015	222	31	135	48	8
32016	241	10	141	82	8
32018	187	10	135	35	7
32019	204	16	109	72	7
32021	268	28	167	69	4
32023	203	10	134	50	9
32024	123	15	80	26	2
32025	231	20	147	57	7
32027	190	16	118	44	12
32029	266	24	148	87	7
32030	175	12	121	31	11
32031	234	23	150	53	8
32032	236	20	134	68	14
32033	231	37	138	47	9
32034	228	27	119	66	16
32035	195	26	122	46	1
32036	238	28	148	60	2
32037	200	28	102	61	9
32038	190	28	111	43	8
32039	219	13	168	32	6
32040	261	27	177	49	8
32041	228	19	146	53	10
32042	189	22	105	55	7
33002	349	26	186	126	11
33003	32	3	12	14	3
33005	178	24	82	67	5
33007	157	15	82	51	9
33008	279	19	194	55	11
33010	20	0	12	7	1
33018	305	41	130	125	9
33019	122	11	66	42	3
33023	17	1	12	4	0
33024	461	34	278	140	9
33027	1	0	0	1	0
36007	222	23	152	33	14
36014	171	16	117	26	12
36015	196	30	128	30	8
36016	145	14	98	24	9
36017	200	18	135	39	8
36018	162	18	110	22	12
36020	82	13	43	20	6
36024	103	16	59	21	7
36026	120	21	74	19	6
36028	109	20	52	27	10
36029	73	8	52	11	2
36030	141	10	104	23	4
38002	182	20	126	24	12
38003	139	15	82	29	13
38004	161	18	106	33	4
38005	160	17	114	20	9
38006	141	13	88	36	4
38007	147	10	111	19	7
38008	140	7	106	19	8
38009	177	22	116	23	16
38010	126	19	78	19	10
38011	183	19	112	43	9
38012	165	24	115	16	10
