Precinct	total_votes	votes|Yes	votes|No
01001	716	670	46
01002	573	540	33
01003	802	735	67
01004	806	733	73
01005	728	654	74
01006	616	547	69
01007	479	440	39
01008	595	543	52
01009	464	429	35
01010	873	766	107
01011	800	714	86
01012	828	757	71
01013	339	321	18
01014	682	611	71
01015	620	559	61
01016	740	686	54
01017	576	531	45
01018	668	635	33
01019	800	740	60
01020	523	498	25
01021	1013	913	100
01022	464	420	44
01023	868	812	56
01024	617	566	51
01025	664	617	47
01026	452	426	26
01027	779	701	78
01028	225	203	22
01029	893	813	80
01030	763	710	53
01031	629	587	42
01032	673	585	88
01033	780	702	78
01034	531	496	35
01035	864	764	100
01036	798	709	89
01037	724	644	80
01038	660	609	51
01039	561	512	49
01040	607	542	65
01041	396	375	21
01042	217	192	25
01043	437	391	46
01044	637	583	54
02001	784	710	74
02002	479	419	60
02003	799	712	87
02004	695	631	64
02005	830	749	81
02006	739	674	65
02007	649	585	64
02008	890	815	75
02009	667	556	111
02010	491	410	81
02011	684	593	91
02012	549	491	58
02013	553	473	80
02014	707	631	76
02015	631	569	62
02016	666	596	70
02017	774	696	78
02018	617	523	94
02019	436	364	72
02020	902	751	151
02021	746	681	65
02022	720	596	124
02023	439	392	47
02024	620	534	86
02025	795	694	101
02026	607	524	83
02027	594	503	91
02028	770	672	98
02029	757	646	111
02030	567	493	74
02031	732	656	76
02032	590	500	90
02033	930	778	152
02034	487	415	72
02035	890	759	131
02036	761	630	131
02037	559	475	84
02038	598	504	94
02039	460	390	70
02040	952	801	151
02041	811	691	120
02042	753	667	86
02043	920	787	133
02044	404	341	63
02045	781	708	73
02046	394	325	69
03001	768	741	27
03002	601	584	17
03003	504	462	42
03004	629	611	18
03005	328	315	13
03006	907	797	110
03007	345	318	27
03008	443	424	19
03009	659	636	23
03010	269	251	18
03011	621	598	23
03012	545	530	15
03013	746	668	78
03014	735	654	81
03015	518	488	30
03016	460	430	30
03017	915	861	54
03018	776	740	36
03019	789	670	119
03020	607	587	20
03021	676	586	90
03022	909	789	120
03023	487	453	34
03024	488	463	25
03025	1162	1007	155
03026	730	626	104
03027	830	698	132
03028	315	293	22
03029	616	586	30
03030	490	474	16
03031	665	634	31
03032	1041	919	122
03033	805	714	91
03034	976	889	87
03035	299	276	23
03036	270	255	15
03037	502	482	20
03038	398	386	12
03039	1283	1148	135
03040	649	596	53
03041	411	384	27
04001	894	855	39
04002	861	773	88
04003	493	475	18
04004	769	746	23
04005	618	595	23
04006	654	622	32
04007	750	710	40
04008	662	650	12
04009	642	627	15
04010	765	739	26
04011	607	581	26
04012	763	742	21
04013	886	791	95
04014	599	565	34
04015	668	650	18
04016	1156	1044	112
04017	758	691	67
04018	561	533	28
04019	449	413	36
04020	528	476	52
04021	727	651	76
04022	598	565	33
04023	758	728	30
04024	578	546	32
04025	838	745	93
04026	528	508	20
04027	822	793	29
04028	532	515	17
04029	552	536	16
04030	811	785	26
04031	560	551	9
04032	661	634	27
04033	579	559	20
04034	535	514	21
04035	695	674	21
04036	737	709	28
04037	1227	1098	129
04038	654	622	32
05001	527	513	14
05002	403	378	25
05003	592	570	22
05004	746	727	19
05005	503	480	23
05006	438	427	11
05007	565	544	21
05008	610	571	39
05009	672	657	15
05010	459	439	20
05011	562	537	25
05012	350	340	10
05013	492	477	15
05014	440	434	6
05015	568	545	23
05016	528	511	17
05017	454	436	18
05018	534	519	15
05019	539	520	19
05020	622	604	18
05021	581	563	18
05022	686	654	32
05023	1002	940	62
05024	716	689	27
05025	482	469	13
05026	539	518	21
05027	593	556	37
05028	576	554	22
05029	570	551	19
05030	357	340	17
05031	423	408	15
05032	612	598	14
05033	507	487	20
05034	632	592	40
05035	736	704	32
05036	331	313	18
05037	597	582	15
05038	520	499	21
05039	479	448	31
05040	425	408	17
05041	259	250	9
06001	464	453	11
06002	447	432	15
06003	453	442	11
06004	311	290	21
06005	285	273	12
06006	517	494	23
06007	445	424	21
06008	449	438	11
06009	453	433	20
06010	312	298	14
06011	384	368	16
06012	343	319	24
06013	332	318	14
06014	394	382	12
06015	400	377	23
06016	445	428	17
06017	310	296	14
06018	322	312	10
06019	360	341	19
06020	305	290	15
06021	227	221	6
06022	279	269	10
06023	254	243	11
06024	239	215	24
06025	237	226	11
06026	328	310	18
06027	269	244	25
06028	217	207	10
06029	468	448	20
06030	373	357	16
06031	396	385	11
06032	433	418	15
06033	442	422	20
06034	439	424	15
06035	405	391	14
06036	477	459	18
06037	471	453	18
06038	489	476	13
06039	375	354	21
06040	395	380	15
06041	443	425	18
06042	439	424	15
06043	418	408	10
06044	481	467	14
06045	444	429	15
06046	328	313	15
06047	308	301	7
06048	428	414	14
07001	437	418	19
07002	432	417	15
07003	424	408	16
07004	425	411	14
07005	392	373	19
07006	548	523	25
07007	415	395	20
07008	295	284	11
07009	715	680	35
07010	416	396	20
07011	490	471	19
07012	432	417	15
07013	283	279	4
07014	499	475	24
07015	410	395	15
07016	408	386	22
07017	342	327	15
07018	394	383	11
07019	401	388	13
07020	339	331	8
07021	334	318	16
07022	356	336	20
07023	383	370	13
07024	341	329	12
07025	339	316	23
07026	322	308	14
07027	324	315	9
07028	315	296	19
07029	377	365	12
07030	345	333	12
07031	310	292	18
07032	511	500	11
07033	515	497	18
07034	508	491	17
07035	458	443	15
07036	514	499	15
07037	428	409	19
07038	365	352	13
07039	378	361	17
07040	345	333	12
07041	400	376	24
07042	390	385	5
07043	393	375	18
07044	366	359	7
07045	415	395	20
07046	118	109	9
08001	386	368	18
08002	408	387	21
08003	467	460	7
08004	485	472	13
08005	369	360	9
08006	419	407	12
08007	492	485	7
08008	432	418	14
08009	286	280	6
08010	533	518	15
08011	362	345	17
08012	381	366	15
08013	507	484	23
08014	363	344	19
08015	263	258	5
08016	135	130	5
08017	367	352	15
08018	425	410	15
08019	478	463	15
08020	504	485	19
08021	566	548	18
08022	387	377	10
08023	331	316	15
08024	238	227	11
08025	434	413	21
08026	372	357	15
08027	483	462	21
08028	443	426	17
08029	481	466	15
08030	485	469	16
08031	347	333	14
08032	343	335	8
08033	352	332	20
08034	386	369	17
08035	490	469	21
08036	438	419	19
08037	346	336	10
08038	312	299	13
08039	422	413	9
08040	365	355	10
08041	466	445	21
08042	567	548	19
08043	252	242	10
08044	322	313	9
08045	374	361	13
08046	345	336	9
08047	360	341	19
08048	395	383	12
08049	400	383	17
08050	435	426	9
08051	418	406	12
08052	530	517	13
08053	263	258	5
08054	364	344	20
08055	353	341	12
08056	448	428	20
09001	396	385	11
09002	335	325	10
09003	271	258	13
09004	324	314	10
09005	403	393	10
09006	379	357	22
09007	312	295	17
09008	440	419	21
09009	480	466	14
09010	324	307	17
09011	291	269	22
09012	468	454	14
09013	465	455	10
09014	465	448	17
09015	445	410	35
09016	397	382	15
09017	302	291	11
09018	287	271	16
09019	411	400	11
09020	373	353	20
09021	376	357	19
09022	451	432	19
09023	460	444	16
09024	402	386	16
09025	358	347	11
09026	378	361	17
09027	333	324	9
09028	265	249	16
09029	359	341	18
09030	356	342	14
09031	340	317	23
09032	415	393	22
09033	305	291	14
09034	338	321	17
09035	382	367	15
09036	343	328	15
09037	627	574	53
09038	391	377	14
09039	429	403	26
09040	446	429	17
09041	339	326	13
09042	434	421	13
09043	372	350	22
09044	368	347	21
09045	300	289	11
09046	385	363	22
09047	433	423	10
09048	427	417	10
09049	451	427	24
09050	572	551	21
09051	403	392	11
10001	343	320	23
10002	466	389	77
10003	490	409	81
10004	350	339	11
10005	381	324	57
10006	382	334	48
10007	328	296	32
10008	225	208	17
10009	444	362	82
10010	501	442	59
10011	579	532	47
10012	326	306	20
10013	397	361	36
10014	581	521	60
10015	763	730	33
10016	367	322	45
10017	613	509	104
10018	261	244	17
10019	478	414	64
10020	485	436	49
10021	463	418	45
10022	264	247	17
10023	399	376	23
10024	453	370	83
10025	133	125	8
10026	320	300	20
10027	379	351	28
10028	518	476	42
10029	473	438	35
10030	391	368	23
10031	380	363	17
10032	479	430	49
10033	352	328	24
10034	313	294	19
10035	488	411	77
10036	106	100	6
11001	535	463	72
11002	39	35	4
11003	571	530	41
11004	429	382	47
11005	726	657	69
11006	883	786	97
11007	532	485	47
11008	515	446	69
11009	484	420	64
11010	543	468	75
11011	627	544	83
11012	713	507	206
