Precinct	total_votes	votes|Jawaharial ''Omar'' Williams
01008	434	434
01011	171	171
01012	707	707
01021	135	135
01032	148	148
01033	53	53
01037	149	149
02001	467	467
02006	639	639
02007	559	559
02008	760	760
02015	454	454
02017	524	524
02020	617	617
02025	667	667
24017	72	72
24019	377	377
24020	235	235
24032	178	178
24041	239	239
26004	77	77
26017	316	316
26019	124	124
26028	388	388
26046	264	264
27001	1057	1057
27003	234	234
27004	234	234
27005	330	330
27008	336	336
27010	204	204
27011	402	402
27013	439	439
27014	103	103
27015	222	222
27016	160	160
27017	426	426
27019	221	221
27022	198	198
27023	288	288
27024	245	245
27025	306	306
27026	289	289
27027	551	551
27029	265	265
27030	190	190
27031	311	311
27032	408	408
27033	423	423
27034	303	303
27035	570	570
27036	321	321
27037	5	5
27039	307	307
27040	548	548
27043	342	342
27044	276	276
27045	45	45
27049	306	306
27050	376	376
28001	30	30
28002	296	296
28003	240	240
28007	325	325
28009	314	314
28013	377	377
28015	65	65
28016	213	213
28017	271	271
28020	265	265
28021	267	267
28022	295	295
28023	385	385
28024	280	280
28025	472	472
28026	302	302
28030	50	50
28032	275	275
28033	350	350
28036	167	167
28037	337	337
28038	126	126
28040	437	437
28042	108	108
28044	237	237
29006	4	4
32002	655	655
32004	532	532
32005	601	601
32006	741	741
32029	467	467
32031	618	618
32032	704	704
32033	288	288
32034	596	596
32035	566	566
32036	607	607
32037	269	269
37002	323	323
37003	254	254
37004	292	292
37007	284	284
37008	266	266
37012	234	234
37013	262	262
37014	20	20
37019	277	277
37020	8	8
37021	313	313
37022	46	46
37027	4	4
37028	313	313
37030	92	92
43005	220	220
43007	355	355
43010	668	668
43011	500	500
43023	398	398
