Precinct	total_votes	votes|Ann M. Williams
01028	188	188
01042	53	53
02020	98	98
02022	576	576
02024	501	501
02026	480	480
32001	492	492
32005	54	54
32007	698	698
32008	771	771
32009	620	620
32010	675	675
32013	683	683
32015	557	557
32016	583	583
32018	588	588
32019	570	570
32021	606	606
32023	621	621
32024	516	516
32025	592	592
32027	629	629
32029	166	166
32030	622	622
32033	273	273
32034	72	72
32036	29	29
32037	438	438
32038	600	600
32039	687	687
32040	642	642
32041	634	634
32042	570	570
33003	118	118
33005	138	138
33008	771	771
33010	515	515
33020	91	91
33023	664	664
33024	725	725
43002	625	625
43006	471	471
43009	553	553
43016	830	830
43017	444	444
43018	642	642
43020	725	725
43021	643	643
43022	411	411
43024	415	415
43029	808	808
43030	581	581
43031	533	533
43037	691	691
43039	448	448
43040	440	440
43041	712	712
43044	584	584
43046	369	369
44002	649	649
44009	644	644
44011	440	440
44016	723	723
44025	621	621
44030	780	780
47001	421	421
47002	590	590
47003	554	554
47004	730	730
47005	158	158
47006	754	754
47007	566	566
47008	597	597
47009	589	589
47011	622	622
47012	659	659
47013	596	596
47014	542	542
47016	579	579
47017	600	600
47018	568	568
47021	562	562
47024	662	662
47025	751	751
47027	532	532
47028	42	42
47029	708	708
47033	626	626
47035	586	586
47039	586	586
47040	556	556
47041	107	107
47043	538	538
47044	529	529
47046	599	599
47047	737	737
47048	36	36
