Precinct	total_votes	votes|Robert ''Bob'' Rita
09001	200	200
09002	241	241
09004	219	219
09005	382	382
09006	350	350
09009	89	89
09013	101	101
09014	444	444
09017	187	187
09019	385	385
09022	400	400
09029	338	338
09031	212	212
09032	388	388
09034	327	327
09035	364	364
09038	121	121
09039	407	407
09040	436	436
09043	206	206
09044	67	67
34002	187	187
34003	424	424
34004	302	302
34006	467	467
34009	291	291
34011	369	369
34014	343	343
34015	112	112
34016	363	363
34018	269	269
34020	298	298
34022	409	409
34023	335	335
34024	355	355
34026	494	494
34027	321	321
34028	259	259
34030	390	390
34031	285	285
34033	342	342
34036	363	363
34037	227	227
34038	205	205
34039	298	298
34041	241	241
34042	406	406
34050	338	338
34051	243	243
34053	275	275
