Precinct	total_votes	votes|Nicholas ''Nick'' Smith
06001	417	417
06002	423	423
06003	397	397
06008	422	422
06013	298	298
06014	381	381
06016	417	417
06019	60	60
06029	425	425
06031	418	418
06034	409	409
06035	367	367
06036	432	432
06037	436	436
06038	439	439
06039	331	331
06041	396	396
06042	395	395
06043	369	369
06044	442	442
06045	393	393
06046	294	294
08015	137	137
08022	375	375
08026	162	162
08031	309	309
08032	312	312
08034	376	376
08039	377	377
08043	177	177
08045	112	112
08047	346	346
08054	24	24
09001	155	155
09007	11	11
09008	377	377
09009	325	325
09012	428	428
09013	313	313
09023	425	425
09024	374	374
09025	365	365
09028	93	93
09031	49	49
09036	321	321
09037	527	527
09038	234	234
09042	400	400
09043	115	115
09046	328	328
09047	401	401
09048	399	399
09049	411	411
09050	540	540
09051	366	366
10013	1	1
10016	4	4
17021	329	329
21031	287	287
21053	139	139
