Precinct	total_votes	votes|Camille Lilly	votes|Joshua Flynn
29001	650	561	89
29004	561	507	54
29005	382	356	26
29007	503	455	48
29009	524	429	95
29010	624	527	97
29012	555	520	35
29013	490	464	26
29015	472	435	37
29017	444	423	21
29023	505	400	105
29024	386	365	21
29025	525	490	35
29026	446	414	32
29027	429	401	28
29030	283	234	49
29033	340	320	20
29035	359	336	23
29036	76	70	6
29037	438	398	40
29040	535	496	39
29041	403	361	42
29043	599	519	80
29044	606	555	51
37018	372	338	34
37029	223	215	8
37035	405	384	21
37037	463	439	24
