Precinct	total_votes	votes|Bobby L. Rush	votes|Philanise White
03002	43	41	2
03004	334	321	13
03007	380	357	23
03012	67	63	4
03018	244	235	9
03023	120	97	23
03029	0	0	0
03030	233	225	8
03031	10	10	0
03035	205	193	12
03038	444	432	12
03041	490	447	43
04001	911	849	62
04003	531	512	19
04004	84	77	7
04008	554	541	13
04009	655	635	20
04011	252	235	17
04012	771	744	27
04014	494	458	36
04015	482	470	12
04018	598	574	24
04019	520	501	19
04022	591	542	49
04023	770	730	40
04024	593	557	36
04026	567	543	24
04027	842	800	42
04028	160	151	9
04029	366	353	13
04030	728	712	16
04031	571	541	30
04032	680	648	32
04033	593	561	32
04036	388	363	25
04038	672	635	37
05002	440	428	12
05003	612	576	36
05004	764	734	30
05005	540	519	21
05007	612	572	40
05008	623	568	55
05009	705	673	32
05010	280	274	6
05011	248	226	22
05012	370	354	16
05013	514	496	18
05015	597	560	37
05016	561	541	20
05017	478	462	16
05018	343	332	11
05019	544	491	53
05020	641	605	36
05021	598	559	39
05022	698	644	54
05024	728	684	44
05025	143	139	4
05027	607	535	72
05030	379	364	15
05033	612	600	12
05034	647	572	75
05035	637	585	52
05039	506	441	65
06001	493	478	15
06002	470	453	17
06003	504	495	9
06004	356	344	12
06005	332	322	10
06006	535	508	27
06007	475	457	18
06008	473	458	15
06009	471	454	17
06010	360	346	14
06011	402	387	15
06012	375	363	12
06013	353	344	9
06014	438	431	7
06015	432	413	19
06016	483	471	12
06017	345	320	25
06018	365	358	7
06019	415	403	12
06020	311	304	7
06021	13	10	3
06022	309	293	16
06023	275	264	11
06024	266	253	13
06025	255	248	7
06026	367	350	17
06027	293	284	9
06028	245	238	7
06029	487	478	9
06030	394	380	14
06031	465	448	17
06032	436	417	19
06033	454	434	20
06034	467	462	5
06035	417	397	20
06036	506	499	7
06037	484	461	23
06038	496	473	23
06039	394	380	14
06040	411	400	11
06041	467	449	18
06042	469	463	6
06043	437	423	14
06044	542	523	19
06045	462	449	13
06046	349	332	17
06047	345	331	14
06048	463	451	12
07001	193	186	7
08001	407	394	13
08002	438	422	16
08003	498	490	8
08004	192	187	5
08005	466	456	10
08006	448	435	13
08008	445	437	8
08010	551	531	20
08011	381	369	12
08012	399	389	10
08013	525	510	15
08014	405	394	11
08015	432	419	13
08016	150	143	7
08018	441	430	11
08019	491	475	16
08020	527	511	16
08021	596	577	19
08022	425	415	10
08023	373	368	5
08024	259	248	11
08025	461	443	18
08026	412	392	20
08027	100	97	3
08029	512	497	15
08030	503	489	14
08031	360	348	12
08033	387	367	20
08034	425	417	8
08035	529	512	17
08037	357	344	13
08038	342	334	8
08040	389	375	14
08041	493	477	16
08043	265	251	14
08044	349	337	12
08045	408	393	15
08047	388	370	18
08048	425	413	12
08049	388	380	8
08050	318	312	6
08051	459	444	15
08052	557	544	13
08054	387	375	12
08055	370	364	6
08056	473	461	12
09012	495	468	27
09023	492	485	7
09024	431	420	11
09025	421	406	15
09036	379	367	12
09042	436	416	20
09047	451	436	15
09048	454	437	17
09049	478	457	21
09050	593	578	15
09051	416	409	7
13019	544	480	64
13041	96	88	8
16006	0	0	0
16009	299	291	8
16027	13	12	1
16028	305	292	13
16030	292	279	13
16031	64	62	2
16034	58	56	2
17001	474	434	40
17002	423	406	17
17003	420	401	19
17004	510	490	20
17005	329	310	19
17006	230	220	10
17008	371	346	25
17009	326	315	11
17010	546	522	24
17011	330	321	9
17012	62	59	3
17013	12	12	0
17015	434	414	20
17016	371	343	28
17017	425	398	27
17018	461	450	11
17020	499	491	8
17021	487	472	15
17022	389	379	10
17023	279	269	10
17024	426	414	12
17025	321	307	14
17026	428	417	11
17027	394	384	10
17028	346	340	6
17029	410	395	15
17030	409	360	49
17032	338	331	7
17033	94	85	9
17034	288	278	10
17035	118	114	4
17036	321	318	3
17037	325	313	12
17038	467	456	11
17039	414	400	14
17040	451	443	8
17041	541	523	18
18001	437	407	30
18002	521	438	83
18003	420	302	118
18004	479	457	22
18005	285	279	6
18006	425	304	121
18007	475	408	67
18008	446	423	23
18009	430	408	22
18010	551	526	25
18011	427	372	55
18012	427	406	21
18013	496	468	28
18014	461	448	13
18015	13	7	6
18016	428	403	25
18017	473	437	36
18018	340	329	11
18019	399	383	16
18020	344	333	11
18021	564	514	50
18022	486	461	25
18023	459	429	30
18026	534	507	27
18027	393	373	20
18028	456	300	156
18029	523	464	59
18031	490	466	24
18032	460	442	18
18033	351	342	9
18034	497	458	39
18035	497	471	26
18036	503	432	71
18037	506	487	19
18038	415	408	7
18039	400	375	25
18041	535	507	28
18042	418	391	27
18044	446	305	141
18045	481	417	64
18047	356	328	28
18048	329	318	11
18049	306	295	11
18050	371	350	21
19002	568	469	99
19005	373	280	93
19010	63	50	13
19011	32	13	19
19013	589	551	38
19014	545	425	120
19020	414	351	63
19025	131	100	31
19027	495	422	73
19028	584	553	31
19031	463	290	173
