Precinct	total_votes	votes|Marie Newman	votes|Mike Fricilone
11001	595	436	159
11004	463	360	103
11005	728	608	120
11008	532	408	124
11009	488	355	133
11010	551	383	168
11011	647	444	203
11012	724	390	334
11013	696	364	332
11015	219	159	60
11016	420	274	146
11017	682	531	151
11018	476	309	167
11019	736	585	151
11020	409	265	144
11021	658	419	239
11022	691	488	203
11023	318	195	123
11024	610	400	210
11025	711	526	185
11026	596	425	171
11027	230	169	61
11028	280	174	106
11029	676	418	258
11031	574	346	228
11032	260	126	134
11037	0	0	0
12001	488	409	79
12003	457	384	73
12004	557	469	88
12005	146	109	37
12008	21	17	4
12009	424	337	87
12019	485	404	81
12023	520	438	82
13001	420	263	157
13002	352	205	147
13003	358	308	50
13004	479	274	205
13005	518	438	80
13006	411	203	208
13007	372	290	82
13008	346	220	126
13009	469	387	82
13010	386	170	216
13011	462	289	173
13012	402	307	95
13013	408	329	79
13014	427	326	101
13015	626	522	104
13016	316	276	40
13017	382	259	123
13018	375	207	168
13020	318	166	152
13021	515	243	272
13022	505	272	233
13023	354	294	60
13024	434	324	110
13025	444	356	88
13026	453	323	130
13027	428	294	134
13028	336	270	66
13029	347	269	78
13030	342	307	35
13031	484	262	222
13032	390	178	212
13033	423	227	196
13034	419	372	47
13035	374	300	74
13036	309	270	39
13037	432	356	76
13038	372	194	178
13039	400	333	67
13040	437	325	112
13041	417	363	54
13042	461	232	229
13043	432	318	114
13044	448	390	58
13045	458	312	146
13046	492	401	91
13047	508	439	69
13048	388	227	161
14001	541	247	294
14004	513	267	246
14005	35	35	0
14007	614	511	103
14008	578	463	115
14009	616	357	259
14012	525	393	132
14018	232	173	59
14021	449	376	73
14022	670	480	190
14023	406	291	115
14024	573	317	256
14025	0	0	0
14026	363	332	31
14029	340	302	38
15001	326	289	37
15005	99	85	14
15008	161	139	22
15013	381	337	44
15014	330	289	41
15015	256	223	33
15016	493	441	52
15019	383	348	35
16001	379	341	38
16007	15	15	0
16023	428	395	33
16032	466	417	49
16035	147	128	19
18015	486	411	75
18024	472	365	107
18025	496	400	96
18030	583	440	143
18040	492	420	72
18043	406	322	84
18046	534	415	119
19001	462	234	228
19002	93	71	22
19003	460	133	327
19004	632	232	400
19005	197	137	60
19006	588	253	335
19007	483	290	193
19008	591	192	399
19009	374	174	200
19010	569	445	124
19011	487	137	350
19012	476	154	322
19015	715	263	452
19016	536	201	335
19017	448	210	238
19018	509	376	133
19019	657	510	147
19021	567	203	364
19022	564	398	166
19023	549	273	276
19024	397	149	248
19025	373	223	150
19026	521	337	184
19029	590	224	366
19030	528	193	335
19032	483	249	234
19033	589	204	385
19034	454	309	145
19035	468	332	136
19041	537	182	355
19044	634	215	419
19045	535	272	263
19046	533	256	277
19050	437	262	175
19051	576	308	268
19052	647	265	382
19053	492	302	190
19054	466	142	324
19055	465	158	307
19056	549	426	123
19057	389	316	73
20004	76	63	13
20015	219	189	30
20020	0	0	0
22001	250	238	12
22002	584	407	177
22008	654	520	134
22012	395	302	93
22023	493	474	19
23001	444	217	227
23002	491	271	220
23003	444	227	217
23004	519	313	206
23005	467	406	61
23006	477	377	100
23007	431	352	79
23008	557	390	167
23009	197	172	25
23010	525	418	107
23011	519	446	73
23012	508	225	283
23014	448	236	212
23015	351	308	43
23016	465	230	235
23017	213	191	22
23018	426	238	188
23019	258	226	32
23020	324	273	51
23021	449	206	243
23022	479	302	177
23023	442	263	179
23025	407	325	82
23026	290	205	85
23027	437	212	225
23028	518	281	237
23029	405	253	152
23030	534	433	101
23031	313	259	54
23032	427	369	58
23033	512	442	70
23034	310	269	41
23035	372	198	174
23036	469	240	229
23037	510	237	273
23038	428	266	162
23039	94	82	12
