Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
01001	278	78	126	35	39
01002	260	56	159	20	25
01003	290	63	126	41	60
01004	251	67	105	24	55
01005	272	68	94	41	69
01006	234	56	95	39	44
01007	201	53	98	17	33
01008	206	55	75	31	45
01009	197	65	96	16	20
01010	278	83	97	40	58
01011	290	87	109	40	54
01012	336	89	146	44	57
01013	134	43	71	8	12
01014	274	59	137	41	37
01015	207	48	106	18	35
01016	341	92	172	29	48
01017	262	96	113	21	32
01018	258	62	135	22	39
01019	296	75	143	31	47
01020	247	62	126	31	28
01021	327	79	136	43	69
01022	177	49	95	12	21
01023	421	137	189	40	55
01024	267	56	143	36	32
01025	247	73	127	24	23
01026	194	34	126	16	18
01027	291	76	121	40	54
01028	83	9	55	11	8
01029	320	98	128	40	54
01030	318	87	162	22	47
01031	192	55	91	22	24
01032	246	61	106	30	49
01033	300	79	116	29	76
01034	234	64	111	15	44
01035	300	77	122	24	77
01036	277	75	106	41	55
01037	223	47	101	22	53
01038	204	63	90	22	29
01039	196	45	97	21	33
01040	266	52	123	34	57
01041	182	47	92	19	24
01042	73	19	40	4	10
01043	164	35	88	13	28
01044	234	81	94	25	34
02001	257	63	99	39	56
02002	185	37	57	33	58
02003	288	71	114	46	57
02004	244	64	102	30	48
02005	298	68	149	26	55
02006	248	61	118	16	53
02007	183	42	71	30	40
02008	261	67	105	35	54
02009	162	21	52	42	47
02010	158	28	25	41	64
02011	237	34	66	45	92
02012	259	45	66	72	76
02013	249	39	67	55	88
02014	317	89	135	26	67
02015	236	64	84	37	51
02016	237	65	85	39	48
02017	320	83	114	50	73
02018	245	41	78	44	82
02019	119	26	29	23	41
02020	241	53	87	15	86
02021	292	90	113	30	59
02022	267	55	80	48	84
02023	162	38	32	38	54
02024	179	42	47	43	47
02025	278	65	119	28	66
02026	200	32	77	37	54
02027	179	40	50	44	45
02028	222	43	77	41	61
02029	249	51	79	38	81
02030	191	36	58	30	67
02031	301	56	97	72	76
02032	169	32	60	35	42
02033	384	70	108	80	126
02034	220	39	49	51	81
02035	242	37	77	49	79
02036	213	39	74	33	67
02037	247	37	72	43	95
02038	197	27	65	46	59
02039	129	21	44	28	36
02040	186	42	67	30	47
02041	201	44	70	32	55
02042	207	55	68	35	49
02043	236	52	71	48	65
02044	147	30	40	34	43
02045	240	47	76	46	71
