Precinct	total_votes	votes|Patrick Daley Thompson (Joseph R. Bide	votes|Donna Hughes (Joseph R. Biden)	votes|Kyle R. Hastings (Joseph R. Biden)	votes|Lynn Barker (Joseph R. Biden)	votes|Kevin E. O'Gorman (Joseph R. Biden)	votes|Adriana D. Olson (Joseph R. Biden)	votes|Amalia Dejesus (Bernie Sanders)	votes|Deliah Odeh (Bernie Sanders)	votes|Maureen Sullivan (Bernie Sanders)	votes|Daniel Guzman (Bernie Sanders)	votes|Jose Requena (Bernie Sanders)	votes|Kyle Killacky (Bernie Sanders)	votes|Neel Jhobalia (Andrew Yang)	votes|Brian Pioppo (Andrew Yang)	votes|Kate Wu (Andrew Yang)	votes|Kathleen ''Kathy'' Shaevel (Elizabeth	votes|Adam Flores (Elizabeth Warren)	votes|Angela Robertson (Elizabeth Warren)	votes|Jose Luis Torrez (Elizabeth Warren)	votes|Tammy Georgiou (Elizabeth Warren)	votes|Christian D. Perry (Elizabeth Warren)
11001	1506	149	104	96	96	90	93	128	115	142	131	107	100	12	10	29	20	18	21	21	11	13
11004	996	93	54	51	44	47	50	93	91	102	90	80	84	19	19	22	10	12	11	12	6	6
11005	2006	121	96	78	85	77	81	234	216	235	228	206	195	13	13	19	20	17	18	27	16	11
11008	1213	110	64	57	57	59	64	117	107	117	130	105	95	13	13	19	12	13	14	20	16	11
11009	1248	96	72	67	63	63	64	123	120	129	126	111	108	7	6	17	13	10	13	15	12	13
11010	1196	128	86	81	73	78	74	94	85	97	94	82	76	18	20	29	12	14	15	13	15	12
11011	1285	119	82	81	82	81	83	108	107	121	123	109	97	13	17	21	7	13	8	7	4	2
11012	1594	265	160	147	147	163	146	72	66	115	77	60	66	10	13	10	14	14	17	15	11	6
11013	1303	220	119	119	105	121	106	69	66	96	69	60	59	14	14	15	12	10	12	7	8	2
11015	483	52	33	34	36	32	32	44	36	40	36	35	29	2	2	9	5	6	6	5	7	2
11016	704	108	46	48	41	39	41	53	49	68	57	49	39	8	6	18	7	4	9	8	3	3
11017	2027	157	121	107	113	113	110	205	192	210	205	186	167	11	10	22	17	15	20	21	14	11
11018	1063	139	90	83	83	79	88	63	58	82	66	57	55	20	13	22	7	15	10	15	9	9
