Precinct	total_votes	votes|Ann M. Williams
01028	69	69
01042	23	23
02020	58	58
02022	270	270
02024	197	197
02026	195	195
32001	200	200
32005	18	18
32007	288	288
32008	301	301
32009	245	245
32010	271	271
32013	259	259
32015	261	261
32016	265	265
32018	234	234
32019	233	233
32021	321	321
32023	272	272
32024	171	171
32025	254	254
32027	217	217
32029	78	78
32030	215	215
32033	126	126
32034	60	60
32036	11	11
32037	122	122
32038	238	238
32039	250	250
32040	281	281
32041	274	274
32042	225	225
33003	58	58
33005	51	51
33008	471	471
33010	239	239
33020	49	49
33023	335	335
33024	449	449
43002	282	282
43006	189	189
43009	245	245
43016	323	323
43017	186	186
43018	300	300
43020	302	302
43021	276	276
43022	193	193
43024	163	163
43029	349	349
43030	316	316
43031	247	247
43037	261	261
43039	194	194
43040	212	212
43041	366	366
43044	259	259
43046	150	150
44002	267	267
44009	262	262
44011	231	231
44016	353	353
44025	272	272
44030	344	344
47001	212	212
47002	325	325
47003	279	279
47004	387	387
47005	184	184
47006	344	344
47007	301	301
47008	335	335
47009	271	271
47011	299	299
47012	338	338
47013	357	357
47014	309	309
47016	334	334
47017	321	321
47018	308	308
47021	319	319
47024	346	346
47025	357	357
47027	289	289
47028	25	25
47029	335	335
47033	297	297
47035	324	324
47039	333	333
47040	370	370
47041	79	79
47043	273	273
47044	234	234
47046	299	299
47047	377	377
47048	33	33
