Precinct	total_votes	votes|Lindsey Lapointe	votes|Patricia D. ''Patti Vasquez'' Bonnin	votes|Joe Duplechin
29029	158	70	70	18
29031	58	18	17	23
29032	168	63	79	26
38001	194	104	67	23
38003	169	52	77	40
38005	176	64	63	49
38006	166	55	61	50
38007	113	29	39	45
38009	209	102	61	46
38011	180	110	38	32
38013	225	86	84	55
38014	220	99	75	46
38015	192	84	81	27
38017	167	53	59	55
38018	231	97	92	42
38019	234	99	82	53
38021	163	67	62	34
38022	211	114	69	28
38024	223	79	77	67
38025	190	74	78	38
38026	181	81	60	40
38027	192	61	83	48
38029	209	78	84	47
38030	184	59	62	63
38031	276	139	80	57
38032	209	104	69	36
38033	190	94	75	21
38036	200	91	72	37
38038	190	54	101	35
38040	235	98	95	42
38041	265	148	86	31
39020	306	114	112	80
39021	216	79	63	74
39023	284	102	109	73
39024	276	95	80	101
39041	0	0	0	0
41003	98	41	25	32
41012	199	95	50	54
41024	194	89	51	54
41030	205	93	44	68
41038	206	75	64	67
45012	223	132	66	25
45013	268	175	58	35
45014	372	167	154	51
45015	372	185	139	48
45016	217	109	69	39
45017	276	130	109	37
45018	255	102	115	38
45019	125	62	46	17
45020	160	77	59	24
45021	211	88	72	51
45022	166	75	50	41
45023	192	87	50	55
45024	160	52	58	50
45025	154	53	64	37
45026	99	43	30	26
45027	232	97	64	71
45028	156	86	50	20
45029	121	51	43	27
45030	212	120	70	22
45031	216	114	61	41
45032	160	80	41	39
45033	190	103	55	32
45034	269	121	98	50
45035	295	143	101	51
45036	294	125	116	53
45037	217	78	86	53
45038	245	82	124	39
45039	225	91	82	52
45040	188	65	57	66
45041	237	72	89	76
45042	264	85	88	91
45043	220	74	73	73
45044	285	94	102	89
45045	148	49	36	63
45046	152	60	42	50
45047	159	50	48	61
45048	169	55	38	76
