Precinct	total_votes	votes|Curtis J. Tarver Ii
04001	379	379
04005	349	349
04009	372	372
04010	388	388
04015	257	257
04022	286	286
04023	297	297
04027	379	379
04031	331	331
04034	202	202
05001	180	180
05003	261	261
05007	255	255
05008	298	298
05009	347	347
05011	263	263
05014	198	198
05017	108	108
05018	260	260
05019	249	249
05020	326	326
05021	167	167
05022	327	327
05023	421	421
05024	302	302
05025	249	249
05026	233	233
05027	281	281
05028	148	148
05029	255	255
05031	159	159
05032	282	282
05033	256	256
05034	315	315
05035	319	319
05037	308	308
05038	184	184
05039	212	212
05040	167	167
05041	139	139
07005	163	163
07006	243	243
07007	153	153
07008	113	113
07009	308	308
07011	158	158
07012	148	148
07013	120	120
07014	179	179
07016	101	101
07017	150	150
07018	124	124
07021	91	91
07022	131	131
07025	16	16
07032	167	167
07033	286	286
07034	259	259
07035	204	204
07037	178	178
07046	81	81
10001	142	142
10004	100	100
10006	112	112
10007	98	98
10008	73	73
10010	146	146
10011	202	202
10012	97	97
10014	190	190
10019	167	167
10020	178	178
10021	124	124
10022	90	90
10023	124	124
10025	42	42
10026	119	119
10028	184	184
10029	162	162
10030	131	131
10031	121	121
10032	145	145
10033	126	126
10034	34	34
10035	159	159
10036	32	32
20024	147	147
20026	190	190
20034	289	289
