Precinct	total_votes	votes|Mary E. Flowers	votes|Samantha Simpson
06010	131	96	35
06017	140	94	46
06019	48	36	12
06020	129	90	39
06022	40	26	14
06025	101	76	25
06026	36	31	5
06027	116	93	23
17002	193	162	31
17004	263	148	115
17005	138	110	28
17009	158	129	29
17010	266	212	54
17011	124	88	36
17015	212	156	56
17018	256	177	79
17020	274	192	82
17021	57	41	16
17022	167	134	33
17023	135	114	21
17024	231	186	45
17026	222	171	51
17027	204	172	32
17028	154	121	33
17029	151	112	39
17032	136	104	32
17034	107	87	20
17037	183	137	46
17038	217	141	76
17039	215	167	48
17040	246	190	56
17041	286	223	63
18004	278	199	79
18006	168	109	59
18007	194	133	61
18008	248	174	74
18009	97	73	24
18010	368	281	87
18012	138	90	48
18013	255	175	80
18014	266	198	68
18016	228	151	77
18018	219	154	65
18019	203	166	37
18020	180	127	53
18021	143	78	65
18022	316	230	86
18026	243	166	77
18029	13	10	3
18032	17	10	7
18033	90	66	24
18035	306	217	89
18036	218	168	50
18037	303	227	76
18038	231	178	53
18041	311	232	79
21002	37	25	12
21004	209	157	52
21013	19	13	6
21015	172	141	31
21017	32	23	9
21020	102	83	19
21026	181	147	34
21028	284	198	86
21030	175	131	44
21034	101	83	18
21043	163	129	34
21044	47	32	15
21047	197	161	36
21051	240	193	47
21052	192	155	37
21053	116	86	30
21054	196	157	39
