Precinct	total_votes	votes|Lamont J. Robinson
02027	54	54
02029	83	83
02032	139	139
02036	182	182
02038	98	98
02039	120	120
02040	210	210
02041	134	134
02042	133	133
02043	234	234
02045	227	227
03001	279	279
03002	310	310
03003	3	3
03006	295	295
03007	178	178
03008	168	168
03009	315	315
03011	171	171
03012	173	173
03014	262	262
03015	213	213
03016	219	219
03017	330	330
03018	178	178
03020	293	293
03021	185	185
03022	290	290
03023	168	168
03024	190	190
03025	365	365
03027	159	159
03028	161	161
03029	212	212
03031	134	134
03032	312	312
03033	285	285
03034	325	325
03035	132	132
03036	85	85
03037	243	243
03038	217	217
03039	339	339
03040	213	213
03041	71	71
04002	304	304
04006	262	262
04011	75	75
04014	254	254
04016	322	322
04021	36	36
04025	298	298
04036	183	183
04038	110	110
05002	173	173
05012	150	150
05013	21	21
05030	83	83
06007	12	12
07001	44	44
07003	1	1
08001	133	133
08002	65	65
08009	141	141
08013	208	208
08016	64	64
08020	256	256
08021	258	258
08026	74	74
08028	203	203
08043	21	21
08054	90	90
08055	211	211
20001	194	194
20003	155	155
20007	180	180
20008	114	114
20010	110	110
20011	237	237
20012	134	134
20014	97	97
20018	116	116
20019	185	185
20023	141	141
20027	28	28
20030	81	81
20031	215	215
20033	134	134
20035	104	104
20037	41	41
20039	7	7
27038	82	82
42010	231	231
42014	148	148
42015	43	43
42019	154	154
42020	198	198
42022	71	71
42023	192	192
42025	209	209
42027	181	181
42032	194	194
42033	253	253
42039	260	260
42040	62	62
42042	389	389
