Precinct	total_votes	votes|Heather A. Steans
33018	107	107
39013	9	9
39022	149	149
39030	29	29
40001	202	202
40002	218	218
40003	361	361
40004	16	16
40005	266	266
40006	402	402
40007	293	293
40008	399	399
40009	166	166
40010	55	55
40011	314	314
40012	245	245
40013	505	505
40014	192	192
40015	227	227
40016	412	412
40017	234	234
40018	173	173
40019	305	305
40020	208	208
40021	361	361
40022	344	344
40023	410	410
40024	198	198
40025	377	377
40026	385	385
40027	371	371
40028	333	333
40029	255	255
40030	219	219
40031	362	362
40032	364	364
40033	337	337
40034	217	217
40035	116	116
40036	269	269
40037	271	271
40038	405	405
40039	13	13
46001	236	236
46002	299	299
46004	304	304
46006	260	260
46008	184	184
46012	398	398
46014	193	193
46016	406	406
46020	222	222
46021	171	171
46022	244	244
46023	256	256
46025	282	282
46026	245	245
46029	28	28
46032	279	279
46037	203	203
46040	290	290
47005	142	142
47010	454	454
47015	458	458
47019	506	506
47020	322	322
47022	388	388
47023	445	445
47026	438	438
47028	294	294
47030	392	392
47031	352	352
47032	420	420
47034	381	381
47036	395	395
47037	343	343
47038	342	342
47039	10	10
47041	329	329
47042	331	331
47045	335	335
48001	362	362
48002	167	167
48003	361	361
48004	306	306
48005	210	210
48006	394	394
48007	357	357
48008	164	164
48009	213	213
48010	510	510
48011	326	326
48012	436	436
48013	387	387
48014	148	148
48015	187	187
48016	322	322
48017	274	274
48018	195	195
48019	288	288
48020	409	409
48021	393	393
48022	277	277
48023	304	304
48024	308	308
48025	322	322
48026	137	137
48027	298	298
48028	290	290
48029	79	79
48030	337	337
48031	363	363
48032	344	344
48033	179	179
48034	299	299
48035	186	186
48036	195	195
48037	354	354
48038	396	396
48039	210	210
48040	311	311
48041	416	416
48042	418	418
48043	377	377
48044	443	443
48045	256	256
48046	215	215
49001	172	172
49002	210	210
49003	330	330
49004	438	438
49005	287	287
49006	284	284
49007	282	282
49008	207	207
49009	335	335
49010	327	327
49011	368	368
49012	428	428
49013	338	338
49014	201	201
49015	183	183
49016	268	268
49017	216	216
49018	441	441
49019	260	260
49020	474	474
49021	143	143
49022	288	288
49023	443	443
49024	167	167
49025	318	318
49026	381	381
49027	334	334
49028	440	440
49029	389	389
49030	282	282
49031	227	227
49032	281	281
49033	215	215
50008	167	167
50028	0	0
