Precinct	total_votes	votes|Michael Scott, Jr.
24001	151	151
24002	135	135
24003	166	166
24004	131	131
24005	85	85
24006	189	189
24007	88	88
24008	75	75
24009	122	122
24010	74	74
24011	144	144
24012	77	77
24013	82	82
24014	128	128
24015	60	60
24016	354	354
24017	112	112
24018	169	169
24019	178	178
24020	121	121
24021	81	81
24022	200	200
24023	108	108
24024	151	151
24025	116	116
24026	241	241
24027	160	160
24028	114	114
24029	125	125
24030	89	89
24031	168	168
24032	86	86
24033	100	100
24034	155	155
24035	142	142
24036	189	189
24037	88	88
24038	147	147
24039	141	141
24040	165	165
24041	109	109
