Precinct	total_votes	votes|Preston Brown Jr.
34001	248	248
34002	195	195
34003	227	227
34004	143	143
34005	200	200
34006	245	245
34007	266	266
34008	156	156
34009	127	127
34010	234	234
34011	160	160
34012	242	242
34013	229	229
34014	161	161
34015	183	183
34016	180	180
34017	291	291
34018	144	144
34019	213	213
34020	276	276
34021	284	284
34022	204	204
34023	181	181
34024	182	182
34025	328	328
34026	239	239
34027	156	156
34028	98	98
34029	171	171
34030	224	224
34031	147	147
34032	195	195
34033	145	145
34034	260	260
34035	246	246
34036	182	182
34037	109	109
34038	83	83
34039	130	130
34040	231	231
34041	129	129
34042	227	227
34043	217	217
34044	216	216
34045	184	184
34046	161	161
34047	223	223
34048	247	247
34049	211	211
34050	170	170
34051	259	259
34052	181	181
34053	127	127
